"go_id","name_1006","namespace_1003"
"10418","GO:0060253","negative regulation of glial cell proliferation","biological_process"
"11652","GO:0072012","glomerulus vasculature development","biological_process"
"13207","GO:2000981","negative regulation of inner ear receptor cell differentiation","biological_process"
"11376","GO:0071223","cellular response to lipoteichoic acid","biological_process"
"3142","GO:0008139","nuclear localization sequence binding","molecular_function"
"6746","GO:0034123","positive regulation of toll-like receptor signaling pathway","biological_process"
"6764","GO:0034162","toll-like receptor 9 signaling pathway","biological_process"
"11377","GO:0071224","cellular response to peptidoglycan","biological_process"
"7029","GO:0035166","post-embryonic hemopoiesis","biological_process"
"3017","GO:0007497","posterior midgut development","biological_process"
"7218","GO:0035645","enteric smooth muscle cell differentiation","biological_process"
"5377","GO:0030158","protein xylosyltransferase activity","molecular_function"
"7054","GO:0035252","UDP-xylosyltransferase activity","molecular_function"
"519","GO:0001875","lipopolysaccharide receptor activity","molecular_function"
"3739","GO:0010572","positive regulation of platelet activation","biological_process"
"6279","GO:0032497","detection of lipopolysaccharide","biological_process"
"3814","GO:0010745","negative regulation of macrophage derived foam cell differentiation","biological_process"
"3899","GO:0010888","negative regulation of lipid storage","biological_process"
"577","GO:0001961","positive regulation of cytokine-mediated signaling pathway","biological_process"
"894","GO:0002827","positive regulation of T-helper 1 type immune response","biological_process"
"5453","GO:0030274","LIM domain binding","molecular_function"
"2940","GO:0007228","positive regulation of hh target transcription factor activity","biological_process"
"465","GO:0001780","neutrophil homeostasis","biological_process"
"8708","GO:0045730","respiratory burst","biological_process"
"7","GO:0000018","regulation of DNA recombination","biological_process"
"132","GO:0000347","THO complex","cellular_component"
"8124","GO:0043323","positive regulation of natural killer cell degranulation","biological_process"
"10926","GO:0061474","phagolysosome membrane","cellular_component"
"12674","GO:1902513","regulation of organelle transport along microtubule","biological_process"
"2953","GO:0007262","STAT protein import into nucleus","biological_process"
"7325","GO:0035910","ascending aorta morphogenesis","biological_process"
"7867","GO:0042668","auditory receptor cell fate determination","biological_process"
"10659","GO:0060675","ureteric bud morphogenesis","biological_process"
"10786","GO:0061009","common bile duct development","biological_process"
"11665","GO:0072049","comma-shaped body morphogenesis","biological_process"
"11765","GO:0072282","metanephric nephron tubule morphogenesis","biological_process"
"13202","GO:2000974","negative regulation of pro-B cell differentiation","biological_process"
"741","GO:0002322","B cell proliferation involved in immune response","biological_process"
"8582","GO:0045359","positive regulation of interferon-beta biosynthetic process","biological_process"
"9005","GO:0046696","lipopolysaccharide receptor complex","cellular_component"
"9588","GO:0050671","positive regulation of lymphocyte proliferation","biological_process"
"6130","GO:0032212","positive regulation of telomere maintenance via telomerase","biological_process"
"159","GO:0000445","THO complex part of transcription export complex","cellular_component"
"9019","GO:0046784","viral mRNA export from host cell nucleus","biological_process"
"9556","GO:0050432","catecholamine secretion","biological_process"
"10779","GO:0060998","regulation of dendritic spine development","biological_process"
"4355","GO:0016176","superoxide-generating NADPH oxidase activator activity","molecular_function"
"12870","GO:2000002","negative regulation of DNA damage checkpoint","biological_process"
"9607","GO:0050700","CARD domain binding","molecular_function"
"6443","GO:0032874","positive regulation of stress-activated MAPK cascade","biological_process"
"54","GO:0000137","Golgi cis cisterna","cellular_component"
"1693","GO:0004821","histidine-tRNA ligase activity","molecular_function"
"2476","GO:0006427","histidyl-tRNA aminoacylation","biological_process"
"7639","GO:0042116","macrophage activation","biological_process"
"8523","GO:0045186","zonula adherens assembly","biological_process"
"8576","GO:0045348","positive regulation of MHC class II biosynthetic process","biological_process"
"8593","GO:0045416","positive regulation of interleukin-8 biosynthetic process","biological_process"
"914","GO:0002904","positive regulation of B cell apoptotic process","biological_process"
"1033","GO:0003266","regulation of secondary heart field cardioblast proliferation","biological_process"
"5064","GO:0021555","midbrain-hindbrain boundary morphogenesis","biological_process"
"5076","GO:0021575","hindbrain morphogenesis","biological_process"
"5177","GO:0021861","forebrain radial glial cell differentiation","biological_process"
"10382","GO:0060164","regulation of timing of neuron differentiation","biological_process"
"10881","GO:0061309","cardiac neural crest cell development involved in outflow tract morphogenesis","biological_process"
"11666","GO:0072050","S-shaped body morphogenesis","biological_process"
"6357","GO:0032722","positive regulation of chemokine production","biological_process"
"7966","GO:0042994","cytoplasmic sequestering of transcription factor","biological_process"
"9359","GO:0048520","positive regulation of behavior","biological_process"
"2089","GO:0005683","U7 snRNP","cellular_component"
"7821","GO:0042578","phosphoric ester hydrolase activity","molecular_function"
"7725","GO:0042347","negative regulation of NF-kappaB import into nucleus","biological_process"
"739","GO:0002318","myeloid progenitor cell differentiation","biological_process"
"8311","GO:0044194","cytolytic granule","cellular_component"
"11846","GO:0072594","establishment of protein localization to organelle","biological_process"
"11996","GO:0090160","Golgi to lysosome transport","biological_process"
"9085","GO:0046934","phosphatidylinositol-4,5-bisphosphate 3-kinase activity","molecular_function"
"8475","GO:0045084","positive regulation of interleukin-12 biosynthetic process","biological_process"
"10080","GO:0051770","positive regulation of nitric-oxide synthase biosynthetic process","biological_process"
"10751","GO:0060907","positive regulation of macrophage cytokine production","biological_process"
"5831","GO:0031297","replication fork processing","biological_process"
"6277","GO:0032495","response to muramyl dipeptide","biological_process"
"5961","GO:0031663","lipopolysaccharide-mediated signaling pathway","biological_process"
"1781","GO:0004962","endothelin receptor activity","molecular_function"
"11570","GO:0071763","nuclear membrane organization","biological_process"
"5333","GO:0030072","peptide hormone secretion","biological_process"
"6978","GO:0035020","regulation of Rac protein signal transduction","biological_process"
"3373","GO:0008593","regulation of Notch signaling pathway","biological_process"
"11046","GO:0070212","protein poly-ADP-ribosylation","biological_process"
"12428","GO:1900745","positive regulation of p38MAPK cascade","biological_process"
"12151","GO:0097084","vascular smooth muscle cell development","biological_process"
"131","GO:0000346","transcription export complex","cellular_component"
"707","GO:0002218","activation of innate immune response","biological_process"
"6322","GO:0032609","interferon-gamma production","biological_process"
"6359","GO:0032727","positive regulation of interferon-alpha production","biological_process"
"7804","GO:0042535","positive regulation of tumor necrosis factor biosynthetic process","biological_process"
"9612","GO:0050707","regulation of cytokine secretion","biological_process"
"8235","GO:0043596","nuclear replication fork","cellular_component"
"6745","GO:0034122","negative regulation of toll-like receptor signaling pathway","biological_process"
"4642","GO:0017025","TBP-class protein binding","molecular_function"
"1621","GO:0004708","MAP kinase kinase activity","molecular_function"
"6371","GO:0032743","positive regulation of interleukin-2 production","biological_process"
"8984","GO:0046641","positive regulation of alpha-beta T cell proliferation","biological_process"
"4533","GO:0016641","oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor","molecular_function"
"3523","GO:0009311","oligosaccharide metabolic process","biological_process"
"11424","GO:0071354","cellular response to interleukin-6","biological_process"
"6151","GO:0032270","positive regulation of cellular protein metabolic process","biological_process"
"2806","GO:0006996","organelle organization","biological_process"
"11854","GO:0072657","protein localization to membrane","biological_process"
"874","GO:0002755","MyD88-dependent toll-like receptor signaling pathway","biological_process"
"2945","GO:0007252","I-kappaB phosphorylation","biological_process"
"2126","GO:0005762","mitochondrial large ribosomal subunit","cellular_component"
"7812","GO:0042555","MCM complex","cellular_component"
"3626","GO:0009982","pseudouridine synthase activity","molecular_function"
"10618","GO:0060586","multicellular organismal iron ion homeostasis","biological_process"
"5925","GO:0031584","activation of phospholipase D activity","biological_process"
"9353","GO:0048505","regulation of timing of cell differentiation","biological_process"
"13150","GO:2000737","negative regulation of stem cell differentiation","biological_process"
"3889","GO:0010875","positive regulation of cholesterol efflux","biological_process"
"5463","GO:0030285","integral component of synaptic vesicle membrane","cellular_component"
"6975","GO:0035005","1-phosphatidylinositol-4-phosphate 3-kinase activity","molecular_function"
"7582","GO:0040016","embryonic cleavage","biological_process"
"9924","GO:0051321","meiotic cell cycle","biological_process"
"5625","GO:0030742","GTP-dependent protein binding","molecular_function"
"2093","GO:0005687","U4 snRNP","cellular_component"
"9818","GO:0051090","regulation of sequence-specific DNA binding transcription factor activity","biological_process"
"1839","GO:0005057","receptor signaling protein activity","molecular_function"
"710","GO:0002224","toll-like receptor signaling pathway","biological_process"
"6348","GO:0032700","negative regulation of interleukin-17 production","biological_process"
"11047","GO:0070213","protein auto-ADP-ribosylation","biological_process"
"1659","GO:0004767","sphingomyelin phosphodiesterase activity","molecular_function"
"3555","GO:0009451","RNA modification","biological_process"
"10678","GO:0060711","labyrinthine layer development","biological_process"
"7756","GO:0042428","serotonin metabolic process","biological_process"
"6933","GO:0034709","methylosome","cellular_component"
"3980","GO:0014043","negative regulation of neuron maturation","biological_process"
"5231","GO:0021984","adenohypophysis development","biological_process"
"6150","GO:0032269","negative regulation of cellular protein metabolic process","biological_process"
"8219","GO:0043560","insulin receptor substrate binding","molecular_function"
"331","GO:0001522","pseudouridine synthesis","biological_process"
"7366","GO:0036010","protein localization to endosome","biological_process"
"7981","GO:0043020","NADPH oxidase complex","cellular_component"
"6393","GO:0032786","positive regulation of DNA-templated transcription, elongation","biological_process"
"8205","GO:0043539","protein serine/threonine kinase activator activity","molecular_function"
"10658","GO:0060674","placenta blood vessel development","biological_process"
"3837","GO:0010800","positive regulation of peptidyl-threonine phosphorylation","biological_process"
"5658","GO:0030859","polarized epithelial cell differentiation","biological_process"
"5888","GO:0031467","Cul7-RING ubiquitin ligase complex","cellular_component"
"12858","GO:1990393","3M complex","cellular_component"
"3394","GO:0008631","intrinsic apoptotic signaling pathway in response to oxidative stress","biological_process"
"568","GO:0001952","regulation of cell-matrix adhesion","biological_process"
"7399","GO:0036092","phosphatidylinositol-3-phosphate biosynthetic process","biological_process"
"972","GO:0003143","embryonic heart tube morphogenesis","biological_process"
"8075","GO:0043209","myelin sheath","cellular_component"
"9419","GO:0048667","cell morphogenesis involved in neuron differentiation","biological_process"
"1067","GO:0003351","epithelial cilium movement","biological_process"
"8663","GO:0045638","negative regulation of myeloid cell differentiation","biological_process"
"5485","GO:0030318","melanocyte differentiation","biological_process"
"11998","GO:0090162","establishment of epithelial cell polarity","biological_process"
"9346","GO:0048488","synaptic vesicle endocytosis","biological_process"
"4046","GO:0014894","response to denervation involved in regulation of muscle adaptation","biological_process"
"6377","GO:0032760","positive regulation of tumor necrosis factor production","biological_process"
"4401","GO:0016303","1-phosphatidylinositol-3-kinase activity","molecular_function"
"9099","GO:0046966","thyroid hormone receptor binding","molecular_function"
"6365","GO:0032733","positive regulation of interleukin-10 production","biological_process"
"7724","GO:0042346","positive regulation of NF-kappaB import into nucleus","biological_process"
"11179","GO:0070555","response to interleukin-1","biological_process"
"9506","GO:0048870","cell motility","biological_process"
"2091","GO:0005685","U1 snRNP","cellular_component"
"2943","GO:0007249","I-kappaB kinase/NF-kappaB signaling","biological_process"
"7627","GO:0042098","T cell proliferation","biological_process"
"4025","GO:0014826","vein smooth muscle contraction","biological_process"
"9983","GO:0051489","regulation of filopodium assembly","biological_process"
"2229","GO:0005942","phosphatidylinositol 3-kinase complex","cellular_component"
"26","GO:0000060","protein import into nucleus, translocation","biological_process"
"11040","GO:0070198","protein localization to chromosome, telomeric region","biological_process"
"9444","GO:0048711","positive regulation of astrocyte differentiation","biological_process"
"9448","GO:0048715","negative regulation of oligodendrocyte differentiation","biological_process"
"6360","GO:0032728","positive regulation of interferon-beta production","biological_process"
"9809","GO:0051059","NF-kappaB binding","molecular_function"
"2026","GO:0005540","hyaluronic acid binding","molecular_function"
"7733","GO:0042379","chemokine receptor binding","molecular_function"
"12364","GO:1900122","positive regulation of receptor binding","biological_process"
"6029","GO:0031929","TOR signaling","biological_process"
"8721","GO:0045746","negative regulation of Notch signaling pathway","biological_process"
"6361","GO:0032729","positive regulation of interferon-gamma production","biological_process"
"6375","GO:0032755","positive regulation of interleukin-6 production","biological_process"
"6366","GO:0032735","positive regulation of interleukin-12 production","biological_process"
"5971","GO:0031681","G-protein beta-subunit binding","molecular_function"
"7825","GO:0042584","chromaffin granule membrane","cellular_component"
"5932","GO:0031593","polyubiquitin binding","molecular_function"
"7709","GO:0042307","positive regulation of protein import into nucleus","biological_process"
"8756","GO:0045830","positive regulation of isotype switching","biological_process"
"5304","GO:0030014","CCR4-NOT complex","cellular_component"
"7324","GO:0035909","aorta morphogenesis","biological_process"
"9442","GO:0048709","oligodendrocyte differentiation","biological_process"
"6938","GO:0034719","SMN-Sm protein complex","cellular_component"
"6391","GO:0032784","regulation of DNA-templated transcription, elongation","biological_process"
"2301","GO:0006094","gluconeogenesis","biological_process"
"9623","GO:0050727","regulation of inflammatory response","biological_process"
"9042","GO:0046854","phosphatidylinositol phosphorylation","biological_process"
"2249","GO:0005977","glycogen metabolic process","biological_process"
"6343","GO:0032689","negative regulation of interferon-gamma production","biological_process"
"6354","GO:0032715","negative regulation of interleukin-6 production","biological_process"
"7765","GO:0042470","melanosome","cellular_component"
"8013","GO:0043085","positive regulation of catalytic activity","biological_process"
"3390","GO:0008626","granzyme-mediated apoptotic signaling pathway","biological_process"
"11375","GO:0071222","cellular response to lipopolysaccharide","biological_process"
"481","GO:0001816","cytokine production","biological_process"
"2612","GO:0006641","triglyceride metabolic process","biological_process"
"8289","GO:0043995","histone acetyltransferase activity (H4-K5 specific)","molecular_function"
"8290","GO:0043996","histone acetyltransferase activity (H4-K8 specific)","molecular_function"
"9103","GO:0046972","histone acetyltransferase activity (H4-K16 specific)","molecular_function"
"6376","GO:0032757","positive regulation of interleukin-8 production","biological_process"
"9680","GO:0050829","defense response to Gram-negative bacterium","biological_process"
"5908","GO:0031529","ruffle organization","biological_process"
"6054","GO:0031996","thioesterase binding","molecular_function"
"12235","GO:0097284","hepatocyte apoptotic process","biological_process"
"8910","GO:0046427","positive regulation of JAK-STAT cascade","biological_process"
"3263","GO:0008373","sialyltransferase activity","molecular_function"
"12290","GO:0097503","sialylation","biological_process"
"12093","GO:0090398","cellular senescence","biological_process"
"9813","GO:0051085","chaperone mediated protein folding requiring cofactor","biological_process"
"11788","GO:0072358","cardiovascular system development","biological_process"
"3177","GO:0008202","steroid metabolic process","biological_process"
"138","GO:0000387","spliceosomal snRNP assembly","biological_process"
"8597","GO:0045429","positive regulation of nitric oxide biosynthetic process","biological_process"
"3064","GO:0007616","long-term memory","biological_process"
"6547","GO:0033135","regulation of peptidyl-serine phosphorylation","biological_process"
"7779","GO:0042491","auditory receptor cell differentiation","biological_process"
"2036","GO:0005575","cellular_component","cellular_component"
"8126","GO:0043330","response to exogenous dsRNA","biological_process"
"7585","GO:0040019","positive regulation of embryonic development","biological_process"
"5906","GO:0031527","filopodium membrane","cellular_component"
"501","GO:0001837","epithelial to mesenchymal transition","biological_process"
"2956","GO:0007265","Ras protein signal transduction","biological_process"
"3252","GO:0008344","adult locomotory behavior","biological_process"
"8029","GO:0043124","negative regulation of I-kappaB kinase/NF-kappaB signaling","biological_process"
"11947","GO:0090026","positive regulation of monocyte chemotaxis","biological_process"
"1627","GO:0004715","non-membrane spanning protein tyrosine kinase activity","molecular_function"
"8637","GO:0045598","regulation of fat cell differentiation","biological_process"
"2458","GO:0006406","mRNA export from nucleus","biological_process"
"3570","GO:0009617","response to bacterium","biological_process"
"11613","GO:0071896","protein localization to adherens junction","biological_process"
"1896","GO:0005158","insulin receptor binding","molecular_function"
"8886","GO:0046330","positive regulation of JNK cascade","biological_process"
"8169","GO:0043473","pigmentation","biological_process"
"11617","GO:0071902","positive regulation of protein serine/threonine kinase activity","biological_process"
"6278","GO:0032496","response to lipopolysaccharide","biological_process"
"11978","GO:0090102","cochlea development","biological_process"
"75","GO:0000176","nuclear exosome (RNase complex)","cellular_component"
"76","GO:0000177","cytoplasmic exosome (RNase complex)","cellular_component"
"3488","GO:0009159","deoxyribonucleoside monophosphate catabolic process","biological_process"
"8432","GO:0045006","DNA deamination","biological_process"
"9530","GO:0050144","nucleoside deoxyribosyltransferase activity","molecular_function"
"11224","GO:0070694","deoxyribonucleoside 5'-monophosphate N-glycosidase activity","molecular_function"
"11336","GO:0071034","CUT catabolic process","biological_process"
"3574","GO:0009636","response to toxic substance","biological_process"
"5582","GO:0030593","neutrophil chemotaxis","biological_process"
"6356","GO:0032720","negative regulation of tumor necrosis factor production","biological_process"
"9639","GO:0050767","regulation of neurogenesis","biological_process"
"12175","GO:0097150","neuronal stem cell maintenance","biological_process"
"8284","GO:0043984","histone H4-K16 acetylation","biological_process"
"6148","GO:0032266","phosphatidylinositol-3-phosphate binding","molecular_function"
"9670","GO:0050811","GABA receptor binding","molecular_function"
"5390","GO:0030173","integral component of Golgi membrane","cellular_component"
"1039","GO:0003281","ventricular septum development","biological_process"
"5131","GO:0021762","substantia nigra development","biological_process"
"7796","GO:0042517","positive regulation of tyrosine phosphorylation of Stat3 protein","biological_process"
"8142","GO:0043388","positive regulation of DNA binding","biological_process"
"84","GO:0000187","activation of MAPK activity","biological_process"
"8107","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","biological_process"
"5673","GO:0030890","positive regulation of B cell proliferation","biological_process"
"575","GO:0001959","regulation of cytokine-mediated signaling pathway","biological_process"
"9209","GO:0048015","phosphatidylinositol-mediated signaling","biological_process"
"2514","GO:0006493","protein O-linked glycosylation","biological_process"
"142","GO:0000398","mRNA splicing, via spliceosome","biological_process"
"9490","GO:0048844","artery morphogenesis","biological_process"
"10682","GO:0060716","labyrinthine layer blood vessel development","biological_process"
"9691","GO:0050852","T cell receptor signaling pathway","biological_process"
"11110","GO:0070373","negative regulation of ERK1 and ERK2 cascade","biological_process"
"6550","GO:0033138","positive regulation of peptidyl-serine phosphorylation","biological_process"
"8776","GO:0045880","positive regulation of smoothened signaling pathway","biological_process"
"8281","GO:0043981","histone H4-K5 acetylation","biological_process"
"8282","GO:0043982","histone H4-K8 acetylation","biological_process"
"8722","GO:0045747","positive regulation of Notch signaling pathway","biological_process"
"4590","GO:0016831","carboxy-lyase activity","molecular_function"
"2133","GO:0005771","multivesicular body","cellular_component"
"6062","GO:0032007","negative regulation of TOR signaling","biological_process"
"11502","GO:0071549","cellular response to dexamethasone stimulus","biological_process"
"6837","GO:0034394","protein localization to cell surface","biological_process"
"2730","GO:0006874","cellular calcium ion homeostasis","biological_process"
"4646","GO:0017046","peptide hormone binding","molecular_function"
"5050","GO:0021537","telencephalon development","biological_process"
"10515","GO:0060412","ventricular septum morphogenesis","biological_process"
"271","GO:0001047","core promoter binding","molecular_function"
"2147","GO:0005788","endoplasmic reticulum lumen","cellular_component"
"3995","GO:0014068","positive regulation of phosphatidylinositol 3-kinase signaling","biological_process"
"5662","GO:0030866","cortical actin cytoskeleton organization","biological_process"
"8811","GO:0045954","positive regulation of natural killer cell mediated cytotoxicity","biological_process"
"9681","GO:0050830","defense response to Gram-positive bacterium","biological_process"
"2827","GO:0007029","endoplasmic reticulum organization","biological_process"
"8636","GO:0045597","positive regulation of cell differentiation","biological_process"
"5858","GO:0031398","positive regulation of protein ubiquitination","biological_process"
"5385","GO:0030168","platelet activation","biological_process"
"1131","GO:0003746","translation elongation factor activity","molecular_function"
"5230","GO:0021983","pituitary gland development","biological_process"
"8028","GO:0043123","positive regulation of I-kappaB kinase/NF-kappaB signaling","biological_process"
"9274","GO:0048246","macrophage chemotaxis","biological_process"
"11333","GO:0071013","catalytic step 2 spliceosome","cellular_component"
"11939","GO:0090004","positive regulation of establishment of protein localization to plasma membrane","biological_process"
"9820","GO:0051092","positive regulation of NF-kappaB transcription factor activity","biological_process"
"764","GO:0002376","immune system process","biological_process"
"7851","GO:0042632","cholesterol homeostasis","biological_process"
"3768","GO:0010631","epithelial cell migration","biological_process"
"11388","GO:0071260","cellular response to mechanical stimulus","biological_process"
"5555","GO:0030513","positive regulation of BMP signaling pathway","biological_process"
"5725","GO:0031016","pancreas development","biological_process"
"7683","GO:0042254","ribosome biogenesis","biological_process"
"49","GO:0000123","histone acetyltransferase complex","cellular_component"
"5682","GO:0030901","midbrain development","biological_process"
"2856","GO:0007088","regulation of mitosis","biological_process"
"149","GO:0000413","protein peptidyl-prolyl isomerization","biological_process"
"3543","GO:0009411","response to UV","biological_process"
"719","GO:0002250","adaptive immune response","biological_process"
"197","GO:0000784","nuclear chromosome, telomeric region","cellular_component"
"2421","GO:0006352","DNA-templated transcription, initiation","biological_process"
"11735","GO:0072205","metanephric collecting duct development","biological_process"
"1133","GO:0003755","peptidyl-prolyl cis-trans isomerase activity","molecular_function"
"2087","GO:0005681","spliceosomal complex","cellular_component"
"11111","GO:0070374","positive regulation of ERK1 and ERK2 cascade","biological_process"
"6095","GO:0032088","negative regulation of NF-kappaB transcription factor activity","biological_process"
"2493","GO:0006461","protein complex assembly","biological_process"
"529","GO:0001889","liver development","biological_process"
"1206","GO:0003950","NAD+ ADP-ribosyltransferase activity","molecular_function"
"9342","GO:0048484","enteric nervous system development","biological_process"
"11218","GO:0070679","inositol 1,4,5 trisphosphate binding","molecular_function"
"3269","GO:0008380","RNA splicing","biological_process"
"3049","GO:0007596","blood coagulation","biological_process"
"10102","GO:0051865","protein autoubiquitination","biological_process"
"2895","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","biological_process"
"5882","GO:0031461","cullin-RING ubiquitin ligase complex","cellular_component"
"3635","GO:0010008","endosome membrane","cellular_component"
"2464","GO:0006414","translational elongation","biological_process"
"5419","GO:0030216","keratinocyte differentiation","biological_process"
"2059","GO:0005635","nuclear envelope","cellular_component"
"2519","GO:0006506","GPI anchor biosynthetic process","biological_process"
"2495","GO:0006464","cellular protein modification process","biological_process"
"8528","GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity","biological_process"
"2449","GO:0006396","RNA processing","biological_process"
"7712","GO:0042310","vasoconstriction","biological_process"
"8511","GO:0045171","intercellular bridge","cellular_component"
"2500","GO:0006471","protein ADP-ribosylation","biological_process"
"3393","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","biological_process"
"6137","GO:0032228","regulation of synaptic transmission, GABAergic","biological_process"
"2510","GO:0006486","protein glycosylation","biological_process"
"3513","GO:0009267","cellular response to starvation","biological_process"
"10238","GO:0055038","recycling endosome membrane","cellular_component"
"181","GO:0000724","double-strand break repair via homologous recombination","biological_process"
"354","GO:0001568","blood vessel development","biological_process"
"9627","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","biological_process"
"8268","GO:0043928","exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay","biological_process"
"551","GO:0001932","regulation of protein phosphorylation","biological_process"
"9230","GO:0048066","developmental pigmentation","biological_process"
"9624","GO:0050728","negative regulation of inflammatory response","biological_process"
"2009","GO:0005507","copper ion binding","molecular_function"
"2998","GO:0007409","axonogenesis","biological_process"
"6977","GO:0035019","somatic stem cell maintenance","biological_process"
"8478","GO:0045087","innate immune response","biological_process"
"9878","GO:0051225","spindle assembly","biological_process"
"9336","GO:0048469","cell maturation","biological_process"
"9366","GO:0048538","thymus development","biological_process"
"5646","GO:0030838","positive regulation of actin filament polymerization","biological_process"
"4688","GO:0017137","Rab GTPase binding","molecular_function"
"977","GO:0003151","outflow tract morphogenesis","biological_process"
"113","GO:0000281","mitotic cytokinesis","biological_process"
"1318","GO:0004129","cytochrome-c oxidase activity","molecular_function"
"5365","GO:0030139","endocytic vesicle","cellular_component"
"3006","GO:0007422","peripheral nervous system development","biological_process"
"7630","GO:0042102","positive regulation of T cell proliferation","biological_process"
"698","GO:0002181","cytoplasmic translation","biological_process"
"8143","GO:0043392","negative regulation of DNA binding","biological_process"
"5203","GO:0021915","neural tube development","biological_process"
"5307","GO:0030018","Z disc","cellular_component"
"8514","GO:0045176","apical protein localization","biological_process"
"6046","GO:0031982","vesicle","cellular_component"
"4784","GO:0019001","guanyl nucleotide binding","molecular_function"
"2450","GO:0006397","mRNA processing","biological_process"
"1833","GO:0005044","scavenger receptor activity","molecular_function"
"1949","GO:0005262","calcium channel activity","molecular_function"
"3138","GO:0008134","transcription factor binding","molecular_function"
"3589","GO:0009791","post-embryonic development","biological_process"
"5563","GO:0030522","intracellular receptor signaling pathway","biological_process"
"9815","GO:0051087","chaperone binding","molecular_function"
"7833","GO:0042593","glucose homeostasis","biological_process"
"5973","GO:0031683","G-protein beta/gamma-subunit complex binding","molecular_function"
